id,product_id,parent_sku,child_sku
11,698,TF-LINMW2328MV,"TF-LINMW2328MV-WHHC301WH,TF-LINMW2328MV-BKHC301WH,TF-LINMW2328MV-SLHC301WH,TF-LINMW2328MV-RDHC301WH,TF-LINMW2328MV-INHC301WH"
12,700,TF-LINMW232MV,"TF-LINMW232MV-WHHC301WH,TF-LINMW232MV-BKHC301WH,TF-LINMW232MV-RDHC301WH,TF-LINMW232MV-INHC301WH"
13,702,TF-LINMW2548MV,"TF-LINMW2548MV-WHHC301WH,TF-LINMW2548MV-BKHC301WH,TF-LINMW2548MV-SLHC301WH,TF-LINMW2548MV-RDHC301WH,TF-LINMW2548MV-INHC301WH"
14,704,TF-LINMW254MV,"TF-LINMW254MV-WHHC301WH,TF-LINMW254MV-BKHC301WH,TF-LINMW254MV-RDHC301WH,TF-LINMW254MV-INHC301WH"
15,706,TF-LINMW3548MV,"TF-LINMW3548MV-WHHC301WH,TF-LINMW3548MV-BKHC301WH,TF-LINMW3548MV-SLHC301WH,TF-LINMW3548MV-RDHC301WH,TF-LINMW3548MV-INHC301WH"
16,707,TF-LINMW354MV,"TF-LINMW354MV-WHHC301WH,TF-LINMW354MV-BKHC301WH,TF-LINMW354MV-SLHC301WH,TF-LINMW354MV-RDHC301WH,TF-LINMW354MV-INHC301WH"
17,712,TF-PLIN2328MV,"TF-PLIN2328MV-WHHC401WH,TF-PLIN2328MV-SLHC401WH,TF-PLIN2328MV-RDHC401WH,TF-PLIN2328MV-INHC401WH"
18,714,TF-PLIN232MV,"TF-PLIN232MV-WHHC401WH,TF-PLIN232MV-SLHC401WH,TF-PLIN232MV-RDHC401WH,TF-PLIN232MV-INHC401WH"
19,716,TF-PLIN2548MV,"TF-PLIN2548MV-WHHC401WH,TF-PLIN2548MV-SLWHC401WH"
20,718,TF-PLIN254MV,"TF-PLIN254MV-WHHC401WH,TF-PLIN254MV-SLHC401WH"
21,720,TF-PLIN3548MV,"TF-PLIN3548MV-WHHC401WH,TF-PLIN3548MV-SLHC401WH"
22,828,TF-CITLB254MV,"TF-CITLB254MV-LI835-CS08,TF-CITLB254MV-LI835-CS,TF-CITLB254MV-LI835-CS10,TF-CITLB254MV-LI835-CS11,TF-CITLB254MV-LI835-CS12,TF-CITLB254MV-LI841-CS08,TF-CITLB254MV-LI841-CS,TF-CITLB254MV-LI841-CS10,TF-CITLB254MV-LI841-CS11,TF-CITLB254MV-LI841-CS12,TF-CITLB254MV-LI850-CS08,TF-CITLB254MV-LI850-CS,TF-CITLB254MV-LI850-CS10,TF-CITLB254MV-LI850-CS11,TF-CITLB254MV-LI850-CS12"
23,834,TF-CV8001,"TF-CV8001-17MV,TF-CV8001-32MV"
24,840,TF-CV8002,"TF-CV8002-17MV,TF-CV8002-32MV"
25,858,TF-ECLMW217S,"TF-ECLMW217S-WH,TF-ECLMW217S-WM,TF-ECLMW217S-IM,TF-ECLMW217S-BM,TF-ECLMW217S-SI,TF-ECLMW217S-TO"
26,895,TF-ECLMW232S,"TF-ECLMW232S-WH,TF-ECLMW232S-WM,TF-ECLMW232S-IM,TF-ECLMW232S-BM,TF-ECLMW232S-SL,TF-ECLMW232S-TO"
27,896,TF-ECLMW417S,"TF-ECLMW417S-WH,TF-ECLMW417S-WM,TF-ECLMW417S-IM,TF-ECLMW417S-BM,TF-ECLMW417S-SI,TF-ECLMW417S-TO"
28,897,TF-ECLMW432S,"TF-ECLMW432S-WH,TF-ECLMW432S-WM,TF-ECLMW432S-IM,TF-ECLMW432S-BM,TF-ECLMW432S-SL,TF-ECLMW432S-TO"
29,898,TF-ECLA217S,"TF-ECLA217S-WH,TF-ECLA217S-WM,TF-ECLA217S-IM,TF-ECLA217S-BM,TF-ECLA217S-SI,TF-ECLA217S-TO"
30,899,TF-ECLA232S,"TF-ECLA232S-WH,TF-ECLA232S-WM,TF-ECLA232S-IM,TF-ECLA232S-BM,TF-ECLA232S-SL,TF-ECLA232S-TO"
31,901,TF-ECLRE417S,"TF-ECLRE417S-WH,TF-ECLRE417S-WM,TF-ECLRE417S-IM,TF-ECLRE417S-BM,TF-ECLRE417S-SL,TF-ECLRE417S-TO"
32,902,TF-ECLRE432S,"TF-ECLRE432S-WH,TF-ECLRE432S-WM,TF-ECLRE432S-IM,TF-ECLRE432S-BM,TF-ECLRE432S-SL,TF-ECLRE432S-TO"
33,957,TF-WLINLV2328MV,"TF-WLINLV2328MV-WH,TF-WLINLV2328MV-BK,TF-WLINLV2328MV-SL,TF-WLINLV2328MV-IN"
34,959,TF-WLINLV232MV,"TF-WLINLV232MV-WH,TF-WLINLV232MV-BK,TF-WLINLV232MV-SL,TF-WLINLV232MV-IN"
35,960,TF-BKRA117MV,"TF-BKRA117MV-WH,TF-BKRA117MV-CHE,TF-BKRA117MV-CH"
36,962,TF-WLINLV2548MV,"TF-WLINLV2548MV-WH,TF-WLINLV2548MV-BK,TF-WLINLV2548MV-SL,TF-WLINLV2548MV-IN"
37,964,TF-WLINLV254MV,"TF-WLINLV254MV-WH,TF-WLINLV254MV-BK,TF-WLINLV254MV-SL,TF-WLINLV254MV-IN"
38,965,TF-WLINMW2328MV,"TF-WLINMW2328MV-WH,TF-WLINMW2328MV-BK,TF-WLINMW2328MV-SL,TF-WLINMW2328MV-IN"
39,968,TF-WLINMW232MV,"TF-WLINMW232MV-WH,TF-WLINMW232MV-BK,TF-WLINMW232MV-SL,TF-WLINMW232MV-IN"
40,970,TF-WLINMW2548MV,"TF-WLINMW2548MV-WH,TF-WLINMW2548MV-BK,TF-WLINMW2548MV-SL,TF-WLINMW2548MV-IN"
41,973,TF-WLINMW254MV,"TF-WLINMW254MV-WH,TF-WLINMW254MV-BK,TF-WLINMW254MV-SL,TF-WLINMW254MV-IN"
42,974,TF-WLINPF2328MV,"TF-WLINPF2328MV-WH,TF-WLINPF2328MV-BK,TF-WLINPF2328MV-SL,TF-WLINPF2328MV-IN"
43,976,TF-WLINPF232MV,"TF-WLINPF232MV-WH,TF-WLINPF232MV-BK,TF-WLINPF232MV-SL,TF-WLINPF232MV-IN"
44,980,TF-WLINPF254MV,"TF-WLINPF254MV-WH,TF-WLINPF254MV-BK,TF-WLINPF254MV-SL,TF-WLINPF254MV-IN"
45,981,TF-VAN,"TF-VAN-217E120-AL,TF-VAN-217E120-SW,TF-VAN-225E120-AL,TF-VAN-225E120-SW,TF-VAN-232E120-AL,TF-VAN-232E120-SW"
46,984,TF-BKRA125MV,"TF-BKRA125MV-WH,TF-BKRA125MV-CHE,TF-BKRA125MV-CH"
47,985,TF-BKRA132MV,"TF-BKRA132MV-WH,TF-BKRA132MV-CHE,TF-BKRA132MV-CH"
48,1332,TF-24C2,"TF-24C2-M20BL10-X1,TF-24C2-M20BL10-MV,TF-24C2-M20BL10-WR,TF-24C2-W10BL10-X1,TF-24C2-W10BL10-MV,TF-24C2-W10BL10-WR"
49,1374,BL-RELXTE1RCAEM-SDT,"BL-RELXTE1RCAEM-SDT-R,BL-RELXTE1RCAEM-SDT-G"
50,1375,BL-LEDCXTEU,"BL-LEDCXTEU-1-R-W,BL-LEDCXTEU-1-R-B,BL-LEDCXTEU-1-G-W,BL-LEDCXTEU-1-G-B,BL-LEDCXTEU-2-R-W,BL-LEDCXTEU-2-R-B,BL-LEDCXTEU-2-G-W,BL-LEDCXTEU-2-G-B"
51,1540,AT-CPPG,"AT-CPPG-40W4000LM-4000K,AT-CPPG-40W4000LM-5000K,AT-CPPG-60W6000LM-4000K,AT-CPPG-60W6000LM-5000K,AT-CPPG-90W8500LM-4000K,AT-CPPG-90W8500LM-5000K"
52,1979,NL-TP260,"NL-TP260-W20-30K,NL-TP260-W20-40K,NL-TP260-W20-50K,NL-TP260-W35-30K,NL-TP260-W35-40K,NL-TP260-W35-50K"
53,1981,ILP-SS8-12L-U,"ILP-SS8-12L-U-35-FRL,ILP-SS8-12L-U-40-FRL,ILP-SS8-12L-U-50-FRL"
54,2015,TL-TECBTA-24,"TL-TECBTA-24-30W-40K,TL-TECBTA-24-30W-50K-D1-W,TL-TECBTA-24-40W-40K-D1-W,TL-TECBTA-24-40W-50K"
55,2019,TL-TECBTA-22,"TL-TECBTA-22-20W-50KD1WJ,TL-TECBTA-22-40W-50KD1WJ"
56,2057,NL-NBQL,"NL-NBQL-75W-30K-V,NL-NBQL-75W-30K-HV,NL-NBQL-75W-40K-V,NL-NBQL-75W-40K-HV,NL-NBQL-75W-50K-V,NL-NBQL-75W-50K-HV,NL-NBQL-100W-30K-V,NL-NBQL-100W-30K-HV,NL-NBQL-100W-40K-V,NL-NBQL-100W-40K-HV,NL-NBQL-100W-50K-V,NL-NBQL-100W-50K-HV,NL-NBQL-150W-30K-V,NL-NBQL-150W-30K-HV,NL-NBQL-150W-40K-V,NL-NBQL-150W-40K-HV,NL-NBQL-150W-50K-V,NL-NBQL-150W-50K-HV,NL-NBQL-200W-30K-V,NL-NBQL-200W-30K-HV,NL-NBQL-200W-40K-V,NL-NBQL-200W-40K-HV,NL-NBQL-200W-50K-V,NL-NBQL-200W-50K-HV,NL-NBQL-300W-30K-V,NL-NBQL-300W-30K-HV,NL-NBQL-300W-40K-V,NL-NBQL-300W-40K-HV,NL-NBQL-300W-50K-V,NL-NBQL-300W-50K-HV"
57,2113,PS-HB-18Y-PAD,"PS-HB-18Y-PAD-60,PS-HB-18Y-PAD-120,PS-HB-18Y-PAD-180,PS-HB-18Y-PAD-240"
58,2121,BL-DBEL,"BL-DBEL-BR-SDT,BL-DBEL-B-SDT,BL-DBEL-WH-SDT"
59,2122,BL-DXR,"BL-DXR-65,BL-DXR-610,BL-DXR-125,BL-DXR-1210"
60,2124,BL-LEDR5HO,"BL-LEDR5HO-,BL-LEDR5HO-B"
61,2125,PI-PT-HBL4,"PI-PT-HBL4-105W-40K,PI-PT-HBL4-155W-40K,PI-PT-HBL4-170W-40K,PI-PT-HBL4-210W-40K,PI-PT-HBL4-300W-40K,PI-PT-HBL4-105W-50K,PI-PT-HBL4-155W-50K,PI-PT-HBL4-170W-50K,PI-PT-HBL4-210W-50K,PI-PT-HBL4-300W-50K"
62,2126,BL-PAR-1,"BL-PAR-1W,BL-PAR-1B"
63,2134,ILP-AL-375WU,"ILP-AL-375WU-30TIVUPMB,ILP-AL-375WU-40TIVUPMB,ILP-AL-375WU-50TIVUPMB"
64,2136,ILP-AL-225WU,"ILP-AL-225WU-30TIVUPMB,ILP-AL-225WU-40TIVUPMB,ILP-AL-225WU-50TIVUPMB"
65,2141,ILP-AL-90WU,"ILP-AL-90WU-30TIVUPMB,ILP-AL-90WU-40TIVUPMB,ILP-AL-90WU-50TIVUPMB"
66,2181,ILP-BLFT-15WLED-UNIV-4000K,"ILP-BLFT-15WLED-UNIV-4000K-BRZ,ILP-BLFT-15WLED-UNIV-4000K-BLK"
67,2224,EL-EB30-11W,"EL-EB30-11W-3020e-CASE25,EL-EB30-11W-3000e-CASE25,EL-EB30-11W-3040e-CASE25,EL-EB30-11W-3050e-CASE25"
68,2225,EL-EA21-22W,"EL-EA21-22W-1020eh-CASE5,EL-EA21-22W-1000eh-CASE5,EL-EA21-22W-1040eh-CASE5,EL-EA21-22W-1050eh-CASE5"
69,2227,EL-ET5-2,"EL-ET5-2-140H-CASE25,EL-ET5-2-150H-CASE25"
70,2291,DG-HLV4AOQ,"DG-HLV4AOQ-F112-U-40K-CP,DG-HLV4AOQ-F112-U-40K-LP,DG-HLV4AOQ-F112-U-50K-CP,DG-HLV4AOQ-F112-U-50K-LP,DG-HLV4AOQ-F112-H-40K-CP,DG-HLV4AOQ-F112-H-40K-LP,DG-HLV4AOQ-F112-H-50K-CP,DG-HLV4AOQ-F112-H-50K-LP,DG-HLV4AOQ-F136-U-40K-CP,DG-HLV4AOQ-F136-U-40K-LP,DG-HLV4AOQ-F136-U-50K-CP,DG-HLV4AOQ-F136-U-50K-LP,DG-HLV4AOQ-F136-H-40K-CP,DG-HLV4AOQ-F136-H-40K-LP,DG-HLV4AOQ-F136-H-50K-CP,DG-HLV4AOQ-F136-H-50K-LP"
71,2297,DG-DTRBQF1X15UHA,"DG-DTRBQF1X15UHA-BR,DG-DTRBQF1X15UHA-BR-36,DG-DTRBQF1X15UHA-BR-30,DG-DTRBQF1X15UHA-BL,DG-DTRBQF1X15UHA-BL-36,DG-DTRBQF1X15UHA-BL-30"
72,2313,DG-HLV2AOQ,"DG-HLV2AOQ-F47-U-40K-CP,DG-HLV2AOQ-F47-U-40K-LP,DG-HLV2AOQ-F47-U-50K-CP,DG-HLV2AOQ-F47-U-50K-LP,DG-HLV2A580OQ-F47-H-40K-CP,DG-HLV2AOQ-F47-H-40K-LP,DG-HLV2AOQ-F47-H-50K-CP,DG-HLV2AOQ-F47-H-50K-LP,DG-HLV2AOQ-F66-U-40K-CP,DG-HLV2AOQ-F66-U-40K-LP,DG-HLV2AOQ-F66-U-50K-CP,DG-HLV2AOQ-F66-U-50K-LP,DG-HLV2AOQ-F66-H-40K-CP,DG-HLV2AOQ-F66-H-40K-LP,DG-HLV2AOQ-F66-H-50K-CP,DG-HLV2AOQ-F66-H-50K-LP"
73,2356,TF-131A14L,"TF-131A14L-J35W4300LDMV-30K,TF-131A14L-J35W4300LDMV-35K,TF-131A14L-J35W4300LDMV-40K,TF-131A14L-J35W4300LDMV-50K,TF-131A14L-J48W5800LDMV-30K,TF-131A14L-J48W5800LDMV-35K,TF-131A14L-J48W5800LDMV-40K,TF-131A14L-J48W5800LDMV-50K"
74,2357,TF-131A22L,"TF-131A22L-F28W3200LDMV-30K*,TF-131A22L-F28W3200LDMV-35K*,TF-131A22L-F28W3200LDMV-40K*,TF-131A22L-F28W3200LDMV-50K*,TF-131A22L-F35W3900LDMV-30K*,TF-131A22L-F35W3900LDMV-35K*,TF-131A22L-F35W3900LDMV-40K*,TF-131A22L-F35W3900LDMV-50K*"
75,2362,BL-RH-WP,"BL-RH-WP-1,BL-RH-WP-2"
76,2365,TF-128A24L,"TF-128A24L-J35W4600LDMV40K,TF-128A24L-J48W6300LDMV40K,TF-128A24L-J57W7100LDMV40K"
77,2366,TF-128A14L,"TF-128A14L-J35W3450LDMV40K,TF-128A14L-J48W4800LDMV40K"
78,2370,TF-153A14L,"TF-153A14L-J35W4300LDMV-30K,TF-153A14L-J35W4300LDMV-35K,TF-153A14L-J35W4300LDMV-40K,TF-153A14L-J35W4300LDMV-50K,TF-153A14L-J48W5800LDMV-30K,TF-153A14L-J48W5800LDMV-35K,TF-153A14L-J48W5800LDMV-40K,TF-153A14L-J48W5800LDMV-50K"
79,2374,TF-153A22L,"TF-153A22L-J24W2700LDMV-30K,TF-153A22L-J24W2700LDMV-35K,TF-153A22L-J24W2700LDMV-40K,TF-153A22L-J24W2700LDMV-50K,TF-153A22L-J28W3200LDMV-30K,TF-153A22L-J28W3200LDMV-35K,TF-153A22L-J28W3200LDMV-40K,TF-153A22L-J28W3200LDMV-50K,TF-153A22L-J35W3900LDMV-30K,TF-153A22L-J35W3900LDMV-35K,TF-153A22L-J35W3900LDMV-40K,TF-153A22L-J35W3900LDMV-50K"
80,2378,TF-153A24L,"TF-153A24L-J35W4600LDMV-30K,TF-153A24L-J35W4600LDMV-35K,TF-153A24L-J35W4600LDMV-40K,TF-153A24L-J35W4600LDMV-50K,TF-153A24L-J48W6300LDMV-30K,TF-153A24L-J48W6300LDMV-35K,TF-153A24L-J48W6300LDMV-40K,TF-153A24L-J48W6300LDMV-50K,TF-153A24L-J57W7100LDMV-30K,TF-153A24L-J57W7100LDMV-35K,TF-153A24L-J57W7100LDMV-40K,TF-153A24L-J57W7100LDMV-50K"
81,2382,EN-880111,"EN-880111-I,EN-880111-W"
82,2383,TF-200A224LS28W3300LDMV,"TF-200A224LS28W3300LDMV-30K,TF-200A224LS28W3300LDMV-35K,TF-200A224LS28W3300LDMV-40K,TF-200A224LS28W3300LDMV-50K"
83,2384,EN-8661,"EN-8661-I,EN-8661-W"
84,2385,EN-84150,"EN-84150-I,EN-84150-W"
85,2387,DG-HLF25QF1X132U,"DG-HLF25QF1X132U-4K-CGY,DG-HLF25QF1X132U-5K-CGY"
86,2390,TF-200A424LS48W6000LDMV,"TF-200A424LS48W6000LDMV-30K,TF-200A424LS48W6000LDMV-35K,TF-200A424LS48W6000LDMV-40K,TF-200A424LS48W6000LDMV-50K"
87,2394,TF-200A248L,"TF-200A248L-S48W5600LDMV-30K,TF-200A248L-S48W5600LDMV-35K,TF-200A248L-S48W5600LDMV-40K,TF-200A248L-S48W5600LDMV-50K,TF-200A248L-S57W6500LDMV-30K,TF-200A248L-S57W6500LDMV-35K,TF-200A248L-S57W6500LDMV-40K,TF-200A248L-S57W6500LDMV-50K"
88,2403,TF-200A296L,"TF-200A296L-S97W11200LDMV-30K,TF-200A296L-S97W11200LDMV-35K,TF-200A296L-S97W11200LDMV-40K,TF-200A296L-S97W11200LDMV-50K,TF-200A296L-S114W13000LDMV-30K,TF-200A296L-S114W13000LDMV-35K,TF-200A296L-S114W13000LDMV-40K,TF-200A296L-S114W13000LDMV-50K"
89,2410,TF-201A48L,"TF-201A48L-S24W2800LDMV-30K,TF-201A48L-S24W2800LDMV-35K,TF-201A48L-S24W2800LDMV-40K,TF-201A48L-S24W2800LDMV-50K,TF-201A48L-S32W4000LDMV-30K,TF-201A48L-S32W4000LDMV-35K,TF-201A48L-S32W4000LDMV-40K,TF-201A48L-S32W4000LDMV-50K,TF-201A48L-S48W5700LDMV-30K,TF-201A48L-S48W5700LDMV-35K,TF-201A48L-S48W5700LDMV-40K,TF-201A48L-S48W5700LDMV-50K,TF-201A48L-H72W8700LDMV-30K,TF-201A48L-H72W8700LDMV-35K,TF-201A48L-H72W8700LDMV-40K,TF-201A48L-H72W8700LDMV-50K"
90,2411,TF-201A96L,"TF-201A96L-S48W5600LDMV-30K,TF-201A96L-S48W5600LDMV-35K,TF-201A96L-S48W5600LDMV-40K,TF-201A96L-S48W5600LDMV-50K,TF-201A96L-S65W8000LDMV-30K,TF-201A96L-S65W8000LDMV-35K,TF-201A96L-S65W8000LDMV-40K,TF-201A96L-S65W8000LDMV-50K,TF-201A96L-S97W11400LDMV-30K,TF-201A96L-S97W11400LDMV-35K,TF-201A96L-S97W11400LDMV-40K,TF-201A96L-S97W11400LDMV-50K"
91,2441,TF-209A48L,"TF-209A48L-F32W3450LDMV-30K,TF-209A48L-F32W3450LDMV-35K,TF-209A48L-F32W3450LDMV-40K,TF-209A48L-F32W3450LDMV-50K,TF-209A48L-F48W4800LDMV-30K,TF-209A48L-F48W4800LDMV-35K,TF-209A48L-F48W4800LDMV-40K,TF-209A48L-F48W4800LDMV-50K"
92,2460,TF-UCLL22L,"TF-UCLL22L-J28W3150LDMV-30K,TF-UCLL22L-J28W3150LDMV-35K,TF-UCLL22L-J28W3150LDMV-40K,TF-UCLL22L-J28W3150LDMV-50K,TF-UCLL22L-J32W3600LDMV-30K,TF-UCLL22L-J32W3600LDMV-35K,TF-UCLL22L-J32W3600LDMV-40K,TF-UCLL22L-J32W3600LDMV-50K,TF-UCLL22L-J42W4300LDMV-30K,TF-UCLL22L-J42W4300LDMV-35K,TF-UCLL22L-J42W4300LDMV-40K,TF-UCLL22L-J42W4300LDMV-50K"
93,2461,TF-UCLL24L,"TF-UCLL24L-J32W4350LDMV-30K,TF-UCLL24L-J32W4350LDMV-35K,TF-UCLL24L-J32W4350LDMV-40K,TF-UCLL24L-J32W4350LDMV-50K,TF-UCLL24L-J48W6100LDMV-30K,TF-UCLL24L-J48W6100LDMV-35K,TF-UCLL24L-J48W6100LDMV-40K,TF-UCLL24L-J48W6100LDMV-50K,TF-UCLL24L-J57W6800LDMV-30K,TF-UCLL24L-J57W6800LDMV-35K,TF-UCLL24L-J57W6800LDMV-40K,TF-UCLL24L-J57W6800LDMV-50K"
94,2462,TF-UCLL14L,"TF-UCLL14L-J32W4300LDMV-30K,TF-UCLL14L-J32W4300LDMV-35K,TF-UCLL14L-J32W4300LDMV-40K,TF-UCLL14L-J32W4300LDMV-50K,TF-UCLL14L-J48W6000LDMV-30K,TF-UCLL14L-J48W6000LDMV-35K,TF-UCLL14L-J48W6000LDMV-40K,TF-UCLL14L-J48W6000LDMV-50K"
95,2463,TF-VLT22LJ36W3700LDMV,"TF-VLT22LJ36W3700LDMV-30K,TF-VLT22LJ36W3700LDMV-35K,TF-VLT22LJ36W3700LDMV-40K,TF-VLT22LJ36W3700LDMV-50K"
96,2464,TF-VLT24L,"TF-VLT24L-J48W5500LDMV-30K,TF-VLT24L-J48W5500LDMV-35K,TF-VLT24L-J48W5500LDMV-40K,TF-VLT24L-J48W5500LDMV-50K,TF-VLT24L-J52W6000LDMV-30K,TF-VLT24L-J52W6000LDMV-35K,TF-VLT24L-J52W6000LDMV-40K,TF-VLT24L-J52W6000LDMV-50K"
