product_id,parent_sku,child_sku
2463,TF-VLT22LJ36W3700LDMV,"TF-VLT22LJ36W3700LDMV-30K,TF-VLT22LJ36W3700LDMV-35K,TF-VLT22LJ36W3700LDMV-40K,TF-VLT22LJ36W3700LDMV-50K"
2464,TF-VLT24L,"TF-VLT24L-J48W5500LDMV-30K,TF-VLT24L-J48W5500LDMV-35K,TF-VLT24L-J48W5500LDMV-40K,TF-VLT24L-J48W5500LDMV-50K,TF-VLT24L-J52W6000LDMV-30K,TF-VLT24L-J52W6000LDMV-35K,TF-VLT24L-J52W6000LDMV-40K,TF-VLT24L-J52W6000LDMV-50K"
2467,EN-83200,"EN-83200-I,EN-83200-W"
2468,TF-LXT22LZ36W4200LDMV,"TF-LXT22LZ36W4200LDMV-30K,TF-LXT22LZ36W4200LDMV-35K,TF-LXT22LZ36W4200LDMV-40K,TF-LXT22LZ36W4200LDMV-50K"
2469,EN-83150L,"EN-83150L-W,EN-83150L-C"
2470,EN-83150,"EN-83150-GY,EN-83150-I,EN-83150-LA,EN-83150-W"
2471,TF-LXT24LZ50W6450LDMV,"TF-LXT24LZ50W6450LDMV-30K,TF-LXT24LZ50W6450LDMV-35K,TF-LXT24LZ50W6450LDMV-40K,TF-LXT24LZ50W6450LDMV-50K"
2472,EN-82150L,"EN-82150L-W,EN-82150L-I"
2483,TF-CRVRL24L,"TF-CRVRL24L-J32W4000LDMV-30K,TF-CRVRL24L-J32W4000LDMV-35K,TF-CRVRL24L-J32W4000LDMV-40K,TF-CRVRL24L-J32W4000LDMV-50K,TF-CRVRL24L-J48W6100LDMV-30K,TF-CRVRL24L-J48W6100LDMV-35K,TF-CRVRL24L-J48W6100LDMV-40K,TF-CRVRL24L-J48W6100LDMV-50K,TF-CRVRL24L-J57W7200LDMV-30K,TF-CRVRL24L-J57W7200LDMV-35K,TF-CRVRL24L-J57W7200LDMV-40K,TF-CRVRL24L-J57W7200LDMV-50K"
2484,TF-CRVRL22L,"TF-CRVRL22L-J28W3500LDMV-30K,TF-CRVRL22L-J28W3500LDMV-35K,TF-CRVRL22L-J28W3500LDMV-40K,TF-CRVRL22L-J28W3500LDMV-50K,TF-CRVRL22L-J35W4200LDMV-30K,TF-CRVRL22L-J35W4200LDMV-35K,TF-CRVRL22L-J35W4200LDMV-40K,TF-CRVRL22L-J35W4200LDMV-50K"
2487,TF-EWW24L,"TF-EWW24L-J24W1600LDMV-30K,TF-EWW24L-J24W1600LDMV-35K,TF-EWW24L-J24W1600LDMV-40K,TF-EWW24L-J24W1600LDMV-50K,TF-EWW24L-Z35W2500LDMV-30K,TF-EWW24L-Z35W2500LDMV-35K,TF-EWW24L-Z35W2500LDMV-40K,TF-EWW24L-Z35W2500LDMV-50K"
2488,TF-EWW48L,"TF-EWW48L-J48W3500LDMV-30K,TF-EWW48L-J48W3500LDMV-35K,TF-EWW48L-J48W3500LDMV-40K,TF-EWW48L-J48W3500LDMV-50K,TF-EWW48L-Z57W4000LDMV-30K,TF-EWW48L-Z57W4000LDMV-35K,TF-EWW48L-Z57W4000LDMV-40K,TF-EWW48L-Z57W4000LDMV-50K"
2512,TF-SKDFR48L,"TF-SKDFR48L-J28W2800LDMV-30KWH,TF-SKDFR48L-J28W2800LDMV-35KWH,TF-SKDFR48L-J28W2800LDMV-40KWH,TF-SKDFR48L-J28W2800LDMV-50KWH,TF-SKDFR48L-J35W3400LDMV-30KWH,TF-SKDFR48L-J35W3400LDMV-35KWH,TF-SKDFR48L-J35W3400LDMV-40KWH,TF-SKDFR48L-J35W3400LDMV-50KWH"
2513,TF-SKDFR96L,"TF-SKDFR96L-J57W5400LDMV-30KWH,TF-SKDFR96L-J57W5400LDMV-35KWH,TF-SKDFR96L-J57W5400LDMV-40KWH,TF-SKDFR96L-J57W5400LDMV-50KWH,TF-SKDFR96L-J72W7000LDMV-30KWH,TF-SKDFR96L-J72W7000LDMV-35KWH,TF-SKDFR96L-J72W7000LDMV-40KWH,TF-SKDFR96L-J72W7000LDMV-50KWH"
2514,TF-SKDWBFR24LJ35W3400LDMV,"TF-SKDWBFR24LJ35W3400LDMV-30KWH,TF-SKDWBFR24LJ35W3400LDMV-35KWH,TF-SKDWBFR24LJ35W3400LDMV-40KWH,TF-SKDWBFR24LJ35W3400LDMV-50KWH"
2515,TF-SKDWBFR48L,"TF-SKDWBFR48L-J40W4000LDMV-30K,TF-SKDWBFR48L-J40W4000LDMV-35K,TF-SKDWBFR48L-J40W4000LDMV-40K,TF-SKDWBFR48L-J40W4000LDMV-50K,TF-SKDWBFR48L-Z72W7000LDMV-30K,TF-SKDWBFR48L-Z72W7000LDMV-35K,TF-SKDWBFR48L-Z72W7000LDMV-40K,TF-SKDWBFR48L-Z72W7000LDMV-50K"
2516,TF-SKDWBFR96L,"TF-SKDWBFR96L-J80W8000LDMV40KWH,TF-SKDWBFR96L-Z114W10800LDMV40KWH"
